datetime,plant,As_tot_in,As_diss_in,As_tot_out,As_tot_out_cens,As_diss_out,As_diss_out_cens,pH,hardness,cond,TDS,turbidity,DOC,DOC_cens,TOC,TOC_cens,algae,Ca_tot,Ca_diss,Mg_tot,Mg_diss,Mn_tot,Mn_diss,Mn_diss_cens,K_tot,K_diss,Na_tot,Na_diss,F,Cl,SO4,sulphide,sulphide_cens,alkalinity,Al_tot,Sb_tot,B,Fe_tot,Fe_diss,Fe_diss_cens,Li_tot,Mo_tot,Mo_tot_cens,nitrate_N,nitrite_N,nitrite_N_cens,NH4_N,NH4_N_cens,DRP,DRP_cens,TP,coagulant,temperature,year,month,season,As_removed_abs,As_removal_pct,As_LRV,meets_MAV,qa_exclude_multivar,qa_exclude_reason
2009-07-28 00:00:00,HCC,0.019,,0.0012,False,,False,7.4,,,,,2.9,False,3.5,False,,6.8,,,,0.027,0.0048,False,,,,,,,,,False,37.0,0.11,0.00091,,0.26,0.052,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2009,7,Winter,0.0178,93.6842105263158,1.1995723549052042,1.0,False,
2009-07-31 00:00:00,HCC,0.02,,0.0012,False,,False,7.6,27.0,16.1,130.0,,2.1,False,3.4,False,,6.9,6.5,2.8,2.6,0.021,0.0024,False,3.5,3.3,22.0,19.0,,19.0,12.0,0.001414213562373095,True,37.0,0.079,0.0009,0.29,0.21,0.064,False,0.1,0.00047,False,0.38,0.0022,False,0.0070710678118654745,True,,False,,Aluminium Sulphate,,2009,7,Winter,0.0188,94.0,1.2218487496163564,1.0,False,
2009-08-18 00:00:00,HCC,0.018,,0.0007778174593052023,True,,False,7.6,,,,,3.7,False,4.5,False,,6.6,,,,0.022,0.0022,False,,,,,,,,,False,35.0,0.12,0.00079,,0.29,0.079,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2009,8,Winter,0.017222182540694797,95.67879189274888,1.3643948177770715,1.0,False,
2009-09-07 00:00:00,HCC,0.017,,0.0011,False,,False,7.5,,,,,1.2,False,1.9,False,,6.3,,,,0.029,0.0038,False,,,,,,,,,False,36.0,0.07,0.0008,,0.23,0.067,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2009,9,Spring,0.0159,93.52941176470588,1.189056236220049,1.0,False,
2009-10-15 00:00:00,HCC,0.02,,0.0016,False,,False,7.4,26.0,14.8,140.0,,3.4,False,3.9,False,,6.0,6.1,2.4,2.6,0.035,0.0038,False,3.4,3.3,18.0,19.0,,17.0,8.7,0.001414213562373095,True,36.0,0.12,0.00087,0.23,0.26,0.076,False,0.079,0.00044,False,0.4,0.0034,False,0.014,False,,False,,Aluminium Sulphate,,2009,10,Spring,0.0184,91.99999999999999,1.0969100130080565,1.0,False,
2009-11-20 00:00:00,HCC,0.024,,0.0016,False,,False,7.5,,,,,1.7,False,2.3,False,,6.7,,,,0.041,0.00035355339059327376,True,,,,,,,,,False,39.0,0.053,0.00075,,0.21,0.053,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2009,11,Spring,0.0224,93.33333333333333,1.1760912590556813,1.0,False,
2009-12-14 00:00:00,HCC,0.029,,0.0025,False,,False,7.5,,,,,2.6,False,5.9,False,,6.5,,,,0.057,0.0011,False,,,,,,,,,False,39.0,0.16,0.0007,,0.42,0.066,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2009,12,Summer,0.026500000000000003,91.37931034482759,1.0644579892269184,1.0,False,
2010-01-07 00:00:00,HCC,0.027,,0.0027,False,,False,7.1,25.0,16.6,130.0,,1.6,False,2.6,False,,6.2,5.9,2.8,2.5,0.03,0.0006,False,3.5,3.2,19.0,20.0,,20.0,9.3,0.001414213562373095,True,42.0,0.036,0.00084,0.27,0.19,0.054,False,0.1,0.00045,False,0.16,0.0035,False,0.016,False,,False,,Aluminium Sulphate,,2010,1,Summer,0.0243,89.99999999999999,1.0,1.0,False,
2010-02-19 00:00:00,HCC,0.028,,0.0042,False,,False,7.6,,,,,3.9,False,3.5,False,,6.3,,,,0.033,0.00035355339059327376,True,,,,,,,,,False,41.0,0.055,0.00088,,0.18,0.032,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,2,Summer,0.0238,85.00000000000001,0.8239087409443188,1.0,False,
2010-03-12 00:00:00,HCC,0.024,,0.0032,False,,False,7.6,,,,,2.1,False,2.4,False,,6.7,,,,0.018,0.00035355339059327376,True,,,,,,,,,False,40.0,0.024,0.00086,,0.1,0.028,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,3,Autumn,0.0208,86.66666666666667,0.8750612633917001,1.0,False,
